department_name,performance_rating,avg_salary,avg_total_sales
Development,2,101268.34,
Development,3,106406.45,
Development,4,112476.00,
Development,5,114959.39,
Leadership,2,267436.00,
Leadership,3,459715.17,
Leadership,4,500000.00,
Leadership,5,270795.50,
Marketing,2,91336.67,
Marketing,3,96621.55,
Marketing,4,97346.24,
Marketing,5,104164.24,
Operations,2,94838.43,
Operations,3,96537.49,
Operations,4,104655.92,
Operations,5,104171.91,
Sales,1,86753.42,33542.17
Sales,2,107958.41,62517.66
Sales,3,129118.80,90283.93
Sales,4,148313.33,113427.48
Sales,5,162041.88,133610.50
Support,1,78146.71,0.00
Support,2,87307.31,0.00
Support,3,94773.90,0.00
Support,4,107004.32,0.00
Support,5,114970.94,0.00
