department_name,performance_rating,avg_salary,avg_total_sales
Development,2,101436.63,
Development,3,106383.41,
Development,4,112246.06,
Development,5,115237.65,
Leadership,2,267436.00,
Leadership,3,459715.17,
Leadership,4,500000.00,
Leadership,5,271186.90,
Marketing,2,91547.40,
Marketing,3,96331.21,
Marketing,4,97348.30,
Marketing,5,104009.85,
Operations,2,95078.88,
Operations,3,96597.55,
Operations,4,104518.12,
Operations,5,104321.06,
Sales,1,86725.57,33706.77
Sales,2,107698.93,62226.18
Sales,3,128894.57,89851.37
Sales,4,148230.48,113266.64
Sales,5,162023.73,133497.41
Support,1,78137.61,0.00
Support,2,87374.54,0.00
Support,3,94646.64,0.00
Support,4,106927.91,0.00
Support,5,114746.82,0.00
