country_name,avg_salary,avg_performance_rating,avg_total_sales
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Aqualis,104068.53,3.10,40033.40
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Arkalon,110756.35,3.52,34704.95
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Drogol,109471.81,3.60,59684.86
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Kaldora,104173.03,3.34,30802.27
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
Lumeria,105789.43,3.54,29729.83
