department_id,department_name,avg_salary
1,Development,109041.56
2,Development,109041.56
3,Development,109041.56
4,Development,109041.56
5,Development,109041.56
6,Development,109041.56
7,Development,109041.56
8,Development,109041.56
9,Development,109041.56
10,Development,109041.56
11,Development,109041.56
12,Development,109041.56
13,Development,109041.56
14,Development,109041.56
15,Development,109041.56
16,Development,109041.56
17,Development,109041.56
18,Development,109041.56
19,Development,109041.56
20,Development,109041.56
21,Development,109041.56
22,Development,109041.56
23,Development,109041.56
24,Development,109041.56
25,Development,109041.56
26,Development,109041.56
27,Development,109041.56
28,Development,109041.56
29,Development,109041.56
30,Development,109041.56
31,Development,109041.56
32,Development,109041.56
33,Development,109041.56
34,Development,109041.56
35,Development,109041.56
36,Development,109041.56
37,Development,109041.56
38,Development,109041.56
39,Development,109041.56
40,Development,109041.56
41,Development,109041.56
42,Development,109041.56
43,Development,109041.56
44,Development,109041.56
45,Development,109041.56
46,Development,109041.56
47,Development,109041.56
48,Development,109041.56
49,Development,109041.56
50,Development,109041.56
51,Development,109041.56
52,Development,109041.56
53,Development,109041.56
54,Development,109041.56
55,Development,109041.56
56,Development,109041.56
57,Development,109041.56
58,Development,109041.56
59,Development,109041.56
60,Development,109041.56
61,Development,109041.56
62,Development,109041.56
63,Development,109041.56
64,Development,109041.56
65,Development,109041.56
66,Development,109041.56
67,Development,109041.56
68,Development,109041.56
69,Development,109041.56
70,Development,109041.56
71,Development,109041.56
72,Development,109041.56
73,Development,109041.56
74,Development,109041.56
75,Development,109041.56
76,Development,109041.56
77,Development,109041.56
78,Development,109041.56
79,Development,109041.56
80,Development,109041.56
81,Development,109041.56
82,Development,109041.56
83,Development,109041.56
84,Development,109041.56
85,Development,109041.56
86,Development,109041.56
87,Development,109041.56
88,Development,109041.56
89,Development,109041.56
90,Development,109041.56
91,Development,109041.56
92,Development,109041.56
93,Development,109041.56
94,Development,109041.56
95,Development,109041.56
96,Development,109041.56
97,Development,109041.56
98,Development,109041.56
99,Development,109041.56
100,Development,109041.56
101,Development,109041.56
102,Development,109041.56
103,Development,109041.56
104,Development,109041.56
105,Development,109041.56
106,Development,109041.56
107,Development,109041.56
108,Development,109041.56
109,Development,109041.56
110,Development,109041.56
111,Development,109041.56
112,Development,109041.56
113,Development,109041.56
114,Development,109041.56
115,Development,109041.56
116,Development,109041.56
117,Development,109041.56
118,Development,109041.56
119,Development,109041.56
120,Development,109041.56
121,Development,109041.56
122,Development,109041.56
123,Development,109041.56
124,Development,109041.56
125,Development,109041.56
126,Development,109041.56
127,Development,109041.56
128,Development,109041.56
129,Development,109041.56
130,Development,109041.56
131,Development,109041.56
132,Development,109041.56
133,Development,109041.56
134,Development,109041.56
135,Development,109041.56
136,Development,109041.56
137,Development,109041.56
138,Development,109041.56
139,Development,109041.56
140,Development,109041.56
141,Development,109041.56
142,Development,109041.56
143,Development,109041.56
144,Development,109041.56
145,Development,109041.56
146,Development,109041.56
147,Development,109041.56
148,Development,109041.56
149,Development,109041.56
150,Development,109041.56
151,Development,109041.56
152,Development,109041.56
153,Development,109041.56
154,Development,109041.56
155,Development,109041.56
156,Development,109041.56
157,Development,109041.56
158,Development,109041.56
159,Development,109041.56
160,Development,109041.56
161,Development,109041.56
162,Development,109041.56
163,Development,109041.56
164,Development,109041.56
165,Development,109041.56
166,Development,109041.56
167,Development,109041.56
168,Development,109041.56
169,Development,109041.56
170,Development,109041.56
171,Development,109041.56
172,Development,109041.56
173,Development,109041.56
174,Development,109041.56
175,Development,109041.56
176,Development,109041.56
177,Development,109041.56
178,Development,109041.56
179,Development,109041.56
180,Development,109041.56
181,Development,109041.56
182,Development,109041.56
183,Development,109041.56
184,Development,109041.56
185,Development,109041.56
186,Development,109041.56
187,Development,109041.56
188,Development,109041.56
189,Development,109041.56
190,Development,109041.56
191,Development,109041.56
192,Development,109041.56
193,Development,109041.56
194,Development,109041.56
195,Development,109041.56
196,Development,109041.56
197,Development,109041.56
198,Development,109041.56
199,Development,109041.56
200,Development,109041.56
201,Development,109041.56
202,Development,109041.56
203,Development,109041.56
204,Development,109041.56
205,Development,109041.56
206,Development,109041.56
207,Development,109041.56
208,Development,109041.56
209,Development,109041.56
210,Development,109041.56
211,Development,109041.56
212,Development,109041.56
213,Development,109041.56
214,Development,109041.56
215,Development,109041.56
216,Development,109041.56
217,Development,109041.56
218,Development,109041.56
219,Development,109041.56
220,Development,109041.56
221,Development,109041.56
222,Development,109041.56
223,Development,109041.56
224,Development,109041.56
225,Development,109041.56
226,Development,109041.56
227,Leadership,401119.55
228,Leadership,401119.55
229,Leadership,401119.55
230,Leadership,401119.55
231,Leadership,401119.55
232,Leadership,401119.55
233,Leadership,401119.55
234,Leadership,401119.55
235,Leadership,401119.55
236,Leadership,401119.55
237,Marketing,97459.50
238,Marketing,97459.50
239,Marketing,97459.50
240,Marketing,97459.50
241,Marketing,97459.50
242,Marketing,97459.50
243,Marketing,97459.50
244,Marketing,97459.50
245,Marketing,97459.50
246,Marketing,97459.50
247,Marketing,97459.50
248,Marketing,97459.50
249,Marketing,97459.50
250,Marketing,97459.50
251,Marketing,97459.50
252,Marketing,97459.50
253,Marketing,97459.50
254,Marketing,97459.50
255,Marketing,97459.50
256,Marketing,97459.50
257,Marketing,97459.50
258,Marketing,97459.50
259,Marketing,97459.50
260,Marketing,97459.50
261,Marketing,97459.50
262,Marketing,97459.50
263,Marketing,97459.50
264,Marketing,97459.50
265,Marketing,97459.50
266,Marketing,97459.50
267,Marketing,97459.50
268,Marketing,97459.50
269,Marketing,97459.50
270,Marketing,97459.50
271,Marketing,97459.50
272,Marketing,97459.50
273,Marketing,97459.50
274,Marketing,97459.50
275,Marketing,97459.50
276,Marketing,97459.50
277,Marketing,97459.50
278,Marketing,97459.50
279,Marketing,97459.50
280,Marketing,97459.50
281,Marketing,97459.50
282,Marketing,97459.50
283,Marketing,97459.50
284,Marketing,97459.50
285,Marketing,97459.50
286,Marketing,97459.50
287,Marketing,97459.50
288,Marketing,97459.50
289,Marketing,97459.50
290,Marketing,97459.50
291,Marketing,97459.50
292,Marketing,97459.50
293,Marketing,97459.50
294,Marketing,97459.50
295,Marketing,97459.50
296,Marketing,97459.50
297,Marketing,97459.50
298,Marketing,97459.50
299,Marketing,97459.50
300,Marketing,97459.50
301,Marketing,97459.50
302,Marketing,97459.50
303,Marketing,97459.50
304,Marketing,97459.50
305,Marketing,97459.50
306,Marketing,97459.50
307,Marketing,97459.50
308,Marketing,97459.50
309,Marketing,97459.50
310,Marketing,97459.50
311,Marketing,97459.50
312,Marketing,97459.50
313,Marketing,97459.50
314,Marketing,97459.50
315,Marketing,97459.50
316,Marketing,97459.50
317,Marketing,97459.50
318,Marketing,97459.50
319,Marketing,97459.50
320,Marketing,97459.50
321,Marketing,97459.50
322,Marketing,97459.50
323,Marketing,97459.50
324,Marketing,97459.50
325,Marketing,97459.50
326,Marketing,97459.50
